formula,source,is_train,m,V,Tmax
F1Rb1,PhononDB,0,15.543320952406932,23.626569455049466,1000
O2Zr1,FactSage,1,13.612040521005676,12.259200843044686,1400
As1Hg1O3,PhononDB,0,22.110143217060294,16.55913899261413,1000
Cr1F3,FactSage,1,13.914357141772632,12.72383340433795,1200
Co2P1,FactSage,0,20.30302010810565,10.638957964930876,1500
Er1F1S1,PhononDB,0,18.632414663931147,15.968324982783079,1000
O2S1Tb2,PhononDB,0,17.020993727941722,16.908639110894065,1000
Cl2Cr1,FactSage,1,21.079893713028493,24.844005506385546,1000
Mn1Sb1,FactSage,1,37.8569913390949,20.365760094964177,1100
Mn1Se1,FactSage,1,32.39709760661554,26.17686884649962,1700
Cs1Cu3S2,PhononDB,0,29.668163412373268,27.749956081543,1000
As2Cd1O6,PhononDB,0,18.799224260922802,11.652295383843489,1000
